b2uIyI	2	AK	house white state union video watch enhanced transparency commitment browse house white logs visitor wait executive actions president obama federal receipt tax federal dollars tax spent people petitions create sign house inside white tour interactive event live facebook discussion participate click member facebook give click questions comments httpwwwwhitehousegovvideo ondemand library
A5BSUE	3	AK	officeproposed national regional park servicealaska compendiums proposed national comments links parks interest park request alaska alaskas compendiums comment period closed compendium asked questions frequently proposed send comments address compendiums email listed preserve katmcompendiumnpsgov national comment aniakchak monument proposedto preserve katmcompendiumnpsgov national park denali comment alagnak wild river proposedto preserve bridge
jSNUzQ	2	AK	hsf realtime space human flight data control uptotheminute mission spacecraft path data make sky project applet reside significantly 336 download skywatch cache approximately access internet files 144 downloading 300 sufficient downloaded data 10 hard minutes clear required drive connection nasa time modem kbps updated official responsible amiko curator notices nasa
AcbEDN	1	AK	generating electric gas standard regulations source greenhouse darrt units performance epa reg laws content area jump main navigation contact development retrospective review tracker regulatory aka ghg nsps egu rin 2060aq91 whats whats epahqoap20110660 docket current phase proposal whats abstract facilities greenhouse section source add units performance generating electric gas standard
zQVdMQ	2	AK	fax fire hp burn hazards due recalls machines named washington instructed voluntary consumers illegal commission safety cooperation announced firm product stop dc recalled resell attempt immediately products today recall consumer 1050 product 1040 hp fax machines canada 240000 mexico 928000 units alto importer palo hewlettpackard calif fax overheat failure fire
wGldb6	3	AK	apod australia aurora february 1 red 2012 fascinating discover featured written image explanation day photograph astronomer cosmos universe professional 1 february 2012 atmosphere including magellanic earth disk galaxy ground sky showered weeks excited australia familiar aurora emanating oxygen large pictured night small distant back video highlighting particles state 1402 red
g8vC1p	2	AK	heart living healthy live healthfindergov health learn quick guide connect website hyperlink nongovernmental direct application hhs consistent hyperlinks states services human subject information hyperlinked united application contained health endorsement department website intended provided visitors external constitute applications privacy appearance practices products policies purpose link redirected information usaccessibility privacy mapcontact act
wgFhAT	28	AK	national regional park alaska servicealaska officeglaciers harding national snowfall 60 approximately abundant occur ice summers melt fjords 46 gravity parks acres kenai combined glaciers time areas conditions multiple fourth form year million park average connected fall cool feet land snow require annual flow alaska greater large amounts alaskas receives icefield
mNYfwY	1	AK	heart living healthy live healthfindergov health learn quick guide connect website hyperlink nongovernmental direct application hhs consistent hyperlinks states services human subject information hyperlinked united application contained health endorsement department website intended provided visitors external constitute applications privacy appearance practices products policies purpose link redirected information usaccessibility privacy mapcontact act
zCZvy5	1	AK	glossary magnitude absolute observer asteroids au unit record sun 1 asteroid absolute astronomical visual phase angle definition magnitude definition asteroid distances technical geocentric magnitude phase angle unit heliocentric diameter asteroids results table estimated albedo size conversion based assumed asteroid assuming absolute ranging shows object 025 005 ranges lower larger range
