xzRf9q	3	CA	c_char_p(13898052)
zlIb5M	1	CA	c_char_p(62038932)
yXUDgV	1	CA	c_char_p(14155108)
zMFKn7	1	CA	c_char_p(59786372)
yPBf0g	2	CA	c_char_p(54830564)
jUSKu	1	CA	c_char_p(66040996)
xoLXCj	1	CA	c_char_p(37469508)
r8k9E	2	CA	c_char_p(54854196)
rhdMpH	2	CA	c_char_p(28622964)
srHO6N	2	CA	c_char_p(13947636)
g9ZQJ0	90	CA	c_char_p(19745156)
xcUHQY	3	CA	c_char_p(13893252)
pFaSrH	1	CA	c_char_p(29253844)
yNJJW5	31	CA	c_char_p(28700436)
u8jtil	1	CA	c_char_p(16008164)
Abjjlf	1	CA	c_char_p(14188388)
Pzlkm	1	CA	c_char_p(15875876)
aBOmIu	1	CA	c_char_p(28607396)
xZRjsT	1	CA	c_char_p(33293876)
AdNu7Y	1	CA	c_char_p(20980948)
zXW52P	1	CA	c_char_p(18694468)
xp86LH	1	CA	c_char_p(58389252)
csI8yJ	1	CA	c_char_p(14540052)
xJkImJ	1	CA	c_char_p(14035492)
AfHijG	1	CA	c_char_p(16097924)
8faZ4	1	CA	c_char_p(33291380)
xl0KWy	5	CA	c_char_p(13547108)
i8lAE	4	CA	c_char_p(15832484)
yXDTzh	1	CA	c_char_p(39095140)
ipgl7l	1	CA	c_char_p(16082500)
d0iKKk	4	CA	c_char_p(13637604)
yQaQVr	7	CA	c_char_p(14120308)
oBm9Ks	1	CA	c_char_p(28663812)
zSMYEp	3	CA	c_char_p(55284404)
zASGTX	1	CA	c_char_p(16035540)
oAQUP4	3	CA	c_char_p(13565300)
w4aJNq	1	CA	c_char_p(29181860)
cjYwfD	1	CA	c_char_p(13871396)
wXKHMr	1	CA	c_char_p(28698196)
ysywoo	2	CA	c_char_p(13551188)
zBxDXa	1	CA	c_char_p(28662708)
AoQsrb	1	CA	c_char_p(14758468)
aKY6sE	2	CA	c_char_p(14516740)
mdnG0s	9	CA	c_char_p(14752404)
yPBchx	2	CA	c_char_p(14007892)
zgd2Fh	1	CA	c_char_p(19764004)
yP558M	3	CA	c_char_p(54864244)
x0oqZp	11	CA	c_char_p(14559556)
dhMYQm	1	CA	c_char_p(17893636)
wFiRib	1	CA	c_char_p(13859284)
xYSZfB	1	CA	c_char_p(14506564)
qSSLBl	1	CA	c_char_p(15902212)
zmRAvj	1	CA	c_char_p(19271156)
yZ04yM	639	CA	c_char_p(13721204)
AN6c7	2	CA	c_char_p(14189524)
wZP6zV	3	CA	c_char_p(13860692)
xjdZwK	1	CA	c_char_p(16314548)
43WAZf	1	CA	c_char_p(13655300)
svXD0N	1	CA	c_char_p(19749444)
4tSh9L	1	CA	c_char_p(68083284)
2a9Bp3	1	CA	c_char_p(16503908)
vG8lcT	1	CA	c_char_p(54862420)
zh9otc	2	CA	c_char_p(16570500)
n3QQVg	3	CA	c_char_p(17894900)
efNu8V	1	CA	c_char_p(14003748)
yMbbdZ	1	CA	c_char_p(28691524)
r6yTn4	2	CA	c_char_p(35075300)
AuGS2y	1	CA	c_char_p(13972196)
HYVHO	2	CA	c_char_p(15919108)
xKXj8N	1	CA	c_char_p(14033220)
UT2FE	1	CA	c_char_p(13979668)
zL3Q4m	1	CA	c_char_p(13982868)
EdXkR	2	CA	c_char_p(14766244)
2M1QmD	2	CA	c_char_p(14057076)
tEdYrn	3	CA	c_char_p(13623892)
mhOMUq	1	CA	c_char_p(16005652)
zyKXNJ	1	CA	c_char_p(16058628)
xGPx7m	1	CA	c_char_p(62233620)
wBOclm	3	CA	c_char_p(14045892)
oPwmki	3	CA	c_char_p(14566772)
zg4yPn	5	CA	c_char_p(14536580)
A6ANGx	1	CA	c_char_p(13985396)
wGldb6	1	CA	c_char_p(55247540)
xDhctS	30	CA	c_char_p(55295476)
tImsiM	1	CA	c_char_p(14192356)
tFktwP	3	CA	c_char_p(13877348)
8YHa1y	3	CA	c_char_p(14036852)
nUJ5dG	1	CA	c_char_p(13759860)
x6T6oi	1	CA	c_char_p(54847284)
xsUkmm	2	CA	c_char_p(13687716)
b6Dx4	1	CA	c_char_p(14758932)
wzszy3	1	CA	c_char_p(58346084)
zmtoWJ	3	CA	c_char_p(19275236)
AwEllq	1	CA	c_char_p(55305684)
xlJDlg	1	CA	c_char_p(14159204)
vVBX3	2	CA	c_char_p(13621668)
vKdE7J	1	CA	c_char_p(55966132)
zHBKJp	1	CA	c_char_p(66035348)
ifRMjx	3	CA	c_char_p(59719412)
y5XA2H	1	CA	c_char_p(59844788)
rftigd	1	CA	c_char_p(28649572)
ftEw0I	2	CA	c_char_p(14740436)
zGjYkl	2	CA	c_char_p(14513508)
qJJAhM	1	CA	c_char_p(49834868)
z2Negb	1	CA	c_char_p(59797732)
hLbEDe	1	CA	c_char_p(55235316)
xQV03f	13	CA	c_char_p(14139652)
wNWnEV	1	CA	c_char_p(54863796)
4dwBHm	3	CA	c_char_p(13712900)
AaO8p8	1	CA	c_char_p(28626340)
wyXNp4	1	CA	c_char_p(19233860)
