qJsLGg	1	IA	c_char_p(68354436)
wjW3HY	1	IA	c_char_p(70246212)
6rlY53	2	IA	c_char_p(47350388)
x2wt9O	2	IA	c_char_p(47119204)
wAO5RR	2	IA	c_char_p(45443380)
6BO6mz	1	IA	c_char_p(83515284)
bpKe8l	1	IA	c_char_p(48097636)
p36qT	1	IA	c_char_p(45305300)
A1MDU3	1	IA	c_char_p(45230916)
Ajj8t5	1	IA	c_char_p(64189284)
wXG4iA	1	IA	c_char_p(48120132)
yRQiwq	1	IA	c_char_p(45196196)
w2ErsZ	1	IA	c_char_p(68412596)
8ZTR7S	1	IA	c_char_p(86141796)
qGiT7A	2	IA	c_char_p(45416548)
zYSmt8	1	IA	c_char_p(68408468)
jjHHaH	2	IA	c_char_p(45601748)
rgDdLT	1	IA	c_char_p(45442340)
zhMOL4	3	IA	c_char_p(61810212)
wICmQR	2	IA	c_char_p(45504596)
