150pf	1	IN	c_char_p(118731220)
yZ04yM	1	IN	c_char_p(20152020)
oXgRu4	1	IN	c_char_p(37702308)
pvjsiJ	2	IN	c_char_p(20950820)
qgYuoS	1	IN	c_char_p(118666932)
zZ2Moo	4	IN	c_char_p(18943028)
aHEDuI	1	IN	c_char_p(20520484)
gfdifY	1	IN	c_char_p(20518196)
6OvCsb	1	IN	c_char_p(20529444)
oQX5D0	1	IN	c_char_p(20219444)
A8MMA9	1	IN	c_char_p(29039140)
zQvpFL	1	IN	c_char_p(20106372)
g9ZQJ0	3	IN	c_char_p(20307924)
A9VnOI	1	IN	c_char_p(20933716)
A97XCq	1	IN	c_char_p(20930788)
zfPyFs	1	IN	c_char_p(20400372)
xBhvtQ	28	IN	c_char_p(19996036)
AEZAh2	1	IN	c_char_p(20276084)
znsS0l	2	IN	c_char_p(51451156)
kvcs	4	IN	c_char_p(30144836)
xoeCET	2	IN	c_char_p(20409316)
AAeJZw	1	IN	c_char_p(20136020)
9FUemW	1	IN	c_char_p(49051172)
zA5Lrr	1	IN	c_char_p(20174228)
zxVtap	1	IN	c_char_p(20152420)
cQSs0S	1	IN	c_char_p(31512372)
ynamaB	1	IN	c_char_p(20272564)
y2mB7J	3	IN	c_char_p(20212628)
ALAz	9	IN	c_char_p(20360964)
AmAwWG	1	IN	c_char_p(21091332)
tzDjyc	1	IN	c_char_p(20287828)
qO22	1	IN	c_char_p(21477268)
wV8QZd	1	IN	c_char_p(118116356)
wlQXra	5	IN	c_char_p(20538836)
i8lAE	1	IN	c_char_p(20217764)
wV8XYs	1	IN	c_char_p(20341220)
A1o2Fo	1	IN	c_char_p(31436308)
d0iKKk	1	IN	c_char_p(20342484)
9L2lyb	1	IN	c_char_p(21622036)
afwR4g	1	IN	c_char_p(30489108)
d3KIKm	2	IN	c_char_p(20465892)
kjhofg	1	IN	c_char_p(33350020)
xOPZAf	3	IN	c_char_p(20439028)
cHVIja	4	IN	c_char_p(20533540)
wXLjgD	1	IN	c_char_p(61484580)
ymcqU9	1	IN	c_char_p(31498004)
vnrjr0	1	IN	c_char_p(24113860)
6MDKYT	12	IN	c_char_p(20077828)
SvX6U	1	IN	c_char_p(20905300)
y14Ssg	4	IN	c_char_p(118723300)
lXylCn	2	IN	c_char_p(20370964)
zwR2dD	1	IN	c_char_p(20961060)
xbAeEq	2	IN	c_char_p(33347956)
yqexjv	2	IN	c_char_p(20044068)
i3tx	2	IN	c_char_p(21534308)
nYdn32	1	IN	c_char_p(20473300)
ftEw0I	1	IN	c_char_p(45702084)
AaO8p8	1	IN	c_char_p(21456724)
