fU0iNs	1	KS	c_char_p(41851716)
HxawEK	1	KS	c_char_p(95731748)
HEw7sH	2	KS	c_char_p(42277604)
r8k9E	1	KS	c_char_p(42169572)
HhpVYx	1	KS	c_char_p(93256724)
I1drcQ	2	KS	c_char_p(44026100)
Hj63sL	1	KS	c_char_p(43820884)
vlbysc	1	KS	c_char_p(83620180)
mYuqg	1	KS	c_char_p(41797220)
g9ZQJ0	1	KS	c_char_p(42862804)
3YWS2N	2	KS	c_char_p(41866516)
IqWVxa	1	KS	c_char_p(51628500)
dtStJt	1	KS	c_char_p(80010644)
HAjg0w	1	KS	c_char_p(51805844)
ooJ3SD	1	KS	c_char_p(42167572)
IjZNMu	6	KS	c_char_p(42301236)
HV43Hy	7	KS	c_char_p(41780836)
HTJdoE	1	KS	c_char_p(51540372)
HWvUCE	3	KS	c_char_p(73389092)
zTTHGd	1	KS	c_char_p(43096036)
HmnSro	1	KS	c_char_p(42142500)
IjwAlB	1	KS	c_char_p(85617300)
ou2TaG	1	KS	c_char_p(44662500)
d0iKKk	1	KS	c_char_p(41800388)
c3kwtc	13	KS	c_char_p(41782180)
RFDtO	1	KS	c_char_p(43922260)
oAQUP4	1	KS	c_char_p(66548964)
5pRS5	3	KS	c_char_p(50880100)
4kIXux	1	KS	c_char_p(95723876)
I5Ba5u	1	KS	c_char_p(51809892)
H0okEy	1	KS	c_char_p(109431476)
IsIGYQ	1	KS	c_char_p(41738020)
IqWbrT	6	KS	c_char_p(43062404)
HmQU3Q	2	KS	c_char_p(42178628)
