zpMNgP	3	KS	c_char_p(34449540)
wmELwr	2	KS	c_char_p(34500308)
ygGdA3	2	KS	c_char_p(27654964)
hspXhu	1	KS	c_char_p(27409492)
r8k9E	2	KS	c_char_p(34752260)
xh5Gr0	1	KS	c_char_p(63157380)
xIhIpK	1	KS	c_char_p(28992244)
zb0i4q	6	KS	c_char_p(63143540)
yUzuQt	3	KS	c_char_p(34582276)
AEBSjT	2	KS	c_char_p(27881108)
zq9eU0	2	KS	c_char_p(34659492)
xjpIJF	1	KS	c_char_p(27870708)
naVVCK	9	KS	c_char_p(28069988)
yEA7q8	1	KS	c_char_p(36632324)
AfH3MG	2	KS	c_char_p(28309300)
zOMvzF	3	KS	c_char_p(27804180)
AynlGH	1	KS	c_char_p(34552052)
zUaPPf	2	KS	c_char_p(89250068)
ynS8R5	1	KS	c_char_p(74523972)
18pdxi	1	KS	c_char_p(29962644)
xl8O0c	2	KS	c_char_p(28114644)
wBdIB7	1	KS	c_char_p(27674772)
zy6fMV	1	KS	c_char_p(34391124)
doGPac	1	KS	c_char_p(41084580)
yInBWz	3	KS	c_char_p(27656100)
zZ1zsG	1	KS	c_char_p(34742468)
106Bjl	1	KS	c_char_p(63850932)
mRnzm4	3	KS	c_char_p(27928692)
y5rq6P	1	KS	c_char_p(34373828)
wJPcoM	1	KS	c_char_p(27403012)
wIyF96	1	KS	c_char_p(34582660)
x3xKr9	1	KS	c_char_p(31022436)
lNHlNP	1	KS	c_char_p(33674436)
yrfXg6	1	KS	c_char_p(27843956)
dPzRnw	1	KS	c_char_p(27757044)
w4NJML	1	KS	c_char_p(34384980)
oqPMKY	1	KS	c_char_p(27593780)
xEsu4C	2	KS	c_char_p(29987316)
woH18L	1	KS	c_char_p(27556404)
wT7eLi	6	KS	c_char_p(27553204)
y0ebWj	1	KS	c_char_p(34576756)
qcR6vD	1	KS	c_char_p(34435844)
ygg8Rm	2	KS	c_char_p(27436276)
xXGIJ9	7	KS	c_char_p(27550292)
yMCiwz	1	KS	c_char_p(29897284)
wCIR3s	1	KS	c_char_p(27524452)
SF87e	1	KS	c_char_p(43318132)
