AhvmIu	1	KY	c_char_p(23777092)
x0WejI	1	KY	c_char_p(22945492)
AlnfS7	2	KY	c_char_p(23067300)
bhYcdV	61	KY	c_char_p(22940708)
zw5Zip	1	KY	c_char_p(22944628)
w6SjFy	1	KY	c_char_p(23291604)
mYuqg	1	KY	c_char_p(22943540)
b2uIyI	3	KY	c_char_p(23775796)
3ixzg	1	KY	c_char_p(23741092)
xgDN8u	1	KY	c_char_p(23325572)
bTtxJG	6	KY	c_char_p(44452804)
Abn6sj	1	KY	c_char_p(22891428)
GntTe	1	KY	c_char_p(21562468)
bQLP3c	1	KY	c_char_p(61937012)
9bj1Pm	2	KY	c_char_p(62008084)
zs5dcP	1	KY	c_char_p(23965204)
q0jO	1	KY	c_char_p(22742916)
zgTKWo	2	KY	c_char_p(22893988)
crlJBQ	3	KY	c_char_p(24294644)
yInBWz	1	KY	c_char_p(22774420)
f18hbs	1	KY	c_char_p(22651140)
vCrihy	1	KY	c_char_p(31560244)
bnYqpd	1	KY	c_char_p(23267268)
fd1bnN	1	KY	c_char_p(22855828)
nbTlnd	1	KY	c_char_p(36086788)
cECuKf	10	KY	c_char_p(23176244)
a94yVn	6	KY	c_char_p(22958180)
auaalp	2	KY	c_char_p(22981044)
cyYpT3	12	KY	c_char_p(31629364)
zm9Flb	1	KY	c_char_p(23294020)
eZbNWC	1	KY	c_char_p(23928356)
bdzxVb	1	KY	c_char_p(23774452)
wBwI6b	1	KY	c_char_p(22795604)
gilcS	8	KY	c_char_p(22967076)
zbOHdB	1	KY	c_char_p(22661092)
zfeAPj	2	KY	c_char_p(22930132)
Wb3Nl	3	KY	c_char_p(76179764)
yHmY9j	1	KY	c_char_p(67758516)
