cHKqzg	1	KY	c_char_p(75952644)
acoNt7	2	KY	c_char_p(22324116)
AynlGH	1	KY	c_char_p(20960484)
IdrR0	2	KY	c_char_p(18951108)
zGqov8	1	KY	c_char_p(21806116)
xdBuig	1	KY	c_char_p(18682756)
mYuqg	1	KY	c_char_p(19405028)
A4KKSn	1	KY	c_char_p(42918452)
zytjcG	1	KY	c_char_p(18719172)
zHsrnj	1	KY	c_char_p(18770212)
19AnNk	2	KY	c_char_p(18783844)
uPTpW7	1	KY	c_char_p(20314340)
e6MQG0	1	KY	c_char_p(71025796)
bCc8YL	1	KY	c_char_p(48144404)
mRyYNC	1	KY	c_char_p(41451748)
diF0vQ	1	KY	c_char_p(19113348)
fWJuZL	1	KY	c_char_p(18525140)
91aOmp	1	KY	c_char_p(18995412)
ylpcXj	1	KY	c_char_p(18684244)
zroOnF	1	KY	c_char_p(21813508)
dz2YDe	1	KY	c_char_p(48248004)
aZMetW	1	KY	c_char_p(19049812)
A113rm	1	KY	c_char_p(21427972)
qO22	1	KY	c_char_p(22498244)
zM8nXm	1	KY	c_char_p(22259828)
x8HqRJ	1	KY	c_char_p(19058804)
baqEh7	2	KY	c_char_p(23247028)
pNPxVc	12	KY	c_char_p(18666836)
xL2G08	1	KY	c_char_p(62009684)
k8eVQd	1	KY	c_char_p(23182100)
d0iKKk	1	KY	c_char_p(19590404)
zCaLwp	24	KY	c_char_p(18764756)
qQj0K	1	KY	c_char_p(77803300)
rtOGwl	1	KY	c_char_p(21714996)
xuIjOO	1	KY	c_char_p(18550212)
xnua6M	1	KY	c_char_p(18956708)
gr5jlH	2	KY	c_char_p(19114868)
8eAhIO	1	KY	c_char_p(20273956)
db0qJY	4	KY	c_char_p(18709748)
xvrJGB	1	KY	c_char_p(59386212)
sylCS	1	KY	c_char_p(28904388)
b2UtUJ	4	KY	c_char_p(21395364)
buIRUn	1	KY	c_char_p(19394356)
xBhvtQ	1	KY	c_char_p(48248404)
wOgsBJ	1	KY	c_char_p(18954596)
xXGIJ9	2	KY	c_char_p(20314980)
fh9dMZ	4	KY	c_char_p(18997428)
yInBWz	1	KY	c_char_p(20316532)
zyFo6r	2	KY	c_char_p(21808308)
yA8Y6z	7	KY	c_char_p(18864836)
zdzyf7	2	KY	c_char_p(21714356)
xl8O0c	1	KY	c_char_p(19091364)
wnQalX	4	KY	c_char_p(19276036)
