9W6qxP	1	MT	reports forms commission submitted ethics view incumbents office election committee select candidates form link filed report cycle committees list attorney office statewide commissioner treasurer governor general state insurance secretary numbered 1357 districts state board 9 education odd numbered 10 2468 districts state board education senate state house state representatives attorneys
xXJccI	3	MT	volcanic natural island hazards sea red december zubair pulse 60 violent rising yemeni sea navy activity helicopter captured video northern 23 began sulfor 40 located edge details eruptions dioxide white 2011 red satellite shallow forming eruption coast middecember reported imagery kilometers satellites revealed explosions recent saba showed island highresolution submarine
qoChLb	1	MT	religion census bureau publications obtained information census 19061936 organizations bureau collected religious bodies mandatory affiliation religious prohibits basis 94521 question source bureau public information law census religion abstract states united statistical population statistics section religion found information assistance contact religious statistics citations adherent religious geography north center 2561905 5th nashville
i8lAE	1	MT	glacier national park search lodges awaits wilderness trails solitude 700 discover national relive glacier forests glaciers paradise pristine native meadows mountains transportation spectacular seeking park lakes visitors explore historic adventurous alpine rugged hikers days experience miles stories americans chalets summer direction links pointed vacation planning quick summer visit year begin
UT2FE	1	MT	house white state union video watch enhanced transparency commitment browse house white logs visitor wait executive actions president obama federal receipt tax federal dollars tax spent people petitions create sign house inside white tour interactive event live facebook discussion participate click member facebook give click questions comments httpwwwwhitehousegovvideo ondemand library
zr5BNb	1	MT	med sci ncbi enduran sports exerc strike pubmed rates foot injury 2012 function web ncbi javascript site warning requires management citation external file generate software lb evolutionary boston 3university auburn services street 65 human research avenue 81 divinity usa 2department system 02163 health central suite care 500 biology north 4baylor
rLVP06	1	MT	apod 14 december peace eclipse pagoda indian lunar 2011 fascinating discover featured written image explanation day photograph astronomer cosmos universe professional december 2011 14 atmosphere superimposed captured sky differently 2014 delhi shadow clouds sequence back scatters blue recorded moon lunar red passes reason pagota created times preferentially passing exited volcanic
jjHHaH	6	MT	hudno11134 hud notice rights homeownership disclosure announces revised servicemembers protects protecting militaryfederal dependents law disclosure duty civil revised washington housing department announced relief development urban notice form servicemembers emphasizes active dependents rights protected today act military duty foreclosure mandates wartime states active rate including court proceeding mortgage personnel percent valid
yaEf9H	1	MT	house ncaa forces white joining state union video watch enhanced transparency commitment browse house white logs visitor wait executive actions president obama federal receipt tax federal dollars tax spent people petitions create sign house inside white tour interactive adobe player flash content download view domain 06 january 100 public 2012
yfRuH9	4	MT	glacier series national park avalanche basin podcast search photo nps avalanche gorge view creek stream basins national cumulates avalanche glaciallycarved rushing scours blue mcdonald create lake situated icy basin valley red layers head waters park water walls part outlet gorge slopes larger draining glacier rock highlight steep sculpted aquatic creek
yZChGU	1	MT	conservation animal missouri department autographs set adults tracksor identify find size smaller pictures young animal drawn tracks autographsare land animals average wild slightly represent dont show autographs dotted parts conditions animal normal track evident solid lines kill carefully check culprit pointed tracks coyote dog circular enjoy mdc fish manages protects
zZqILK	1	MT	solstice disruption mission cassini images home image details 1062 5150 titan 660 ring angle degree northern image rings sunlit shows tethys saturnfacing plane kilometers sides center 3200 larger side miles left view acquired image visible spacecraft cassini scale 22 tethys approximately camera 7 8 red titan million 12 kilometers 2011
