JRA9DT	2	NC	c_char_p(24259668)
I5FL8G	1	NC	c_char_p(19520284)
HDTp3l	1	NC	c_char_p(21626820)
I9mYPk	15	NC	c_char_p(22370772)
c7xaOS	1	NC	c_char_p(24007620)
GD9Gok	1	NC	c_char_p(21737220)
bbt6W	1	NC	c_char_p(25004308)
aavG8x	1	NC	c_char_p(21581316)
1gEc3z	1	NC	c_char_p(24292532)
JMKNas	1	NC	c_char_p(24418420)
IbvddW	1	NC	c_char_p(21880180)
JnrusH	1	NC	c_char_p(22310132)
JmclXD	1	NC	c_char_p(22150820)
JAvbXG	1	NC	c_char_p(22102692)
7bsP1P	4	NC	c_char_p(22364804)
I7grTn	1	NC	c_char_p(22498948)
x3xKr9	1	NC	c_char_p(23675684)
GCbvnZ	1	NC	c_char_p(23687364)
Jv4i7l	1	NC	c_char_p(28643892)
I8c64C	1	NC	c_char_p(24258340)
hbkNxK	2	NC	c_char_p(61301748)
HFTEus	22	NC	c_char_p(21997796)
ooJ3SD	1	NC	c_char_p(21586628)
I3T5N0	2	NC	c_char_p(23131444)
b2uIyI	5	NC	c_char_p(21848324)
HXEK63	1	NC	c_char_p(24796068)
JqeC5n	1	NC	c_char_p(22115540)
wZZUqP	1	NC	c_char_p(21810852)
Jmouvy	3	NC	c_char_p(24639572)
bREk8i	3	NC	c_char_p(23679892)
zHs6pi	1	NC	c_char_p(23147988)
JsTUzU	1	NC	c_char_p(22009988)
JvEtcU	2	NC	c_char_p(28290100)
yUzuQt	1	NC	c_char_p(23134884)
uow3a0	1	NC	c_char_p(21949396)
24KPov	1	NC	c_char_p(83779620)
JAQb0h	1	NC	c_char_p(22437748)
K6r995	2	NC	c_char_p(23681412)
Jxt63n	1	NC	c_char_p(53024644)
JLzLT4	1	NC	c_char_p(24643252)
ynamaB	1	NC	c_char_p(24553572)
lMpHvz	1	NC	c_char_p(21615684)
I3NjuK	1	NC	c_char_p(23116132)
xl8O0c	6	NC	c_char_p(22476084)
gHylqZ	1	NC	c_char_p(21928148)
HCeqfe	1	NC	c_char_p(24289044)
JFQVEu	2	NC	c_char_p(28295828)
I9MYJF	1	NC	c_char_p(24289732)
HivTHj	1	NC	c_char_p(71422228)
Jv9qNl	1	NC	c_char_p(38257140)
aH7y4B	1	NC	c_char_p(28192324)
xuIjOO	1	NC	c_char_p(22231316)
HYZqbw	1	NC	c_char_p(22369524)
Ie4UjU	2	NC	c_char_p(21876692)
fU0iNs	1	NC	c_char_p(23678260)
3ixzg	1	NC	c_char_p(21823204)
GTuFc0	1	NC	c_char_p(23681860)
UT2FE	7	NC	c_char_p(21797796)
HyuGl1	8	NC	c_char_p(24924276)
ailPeF	1	NC	c_char_p(74623284)
Iof8LM	1	NC	c_char_p(82301268)
I6Svlr	1	NC	c_char_p(21678564)
IQCDAU	1	NC	c_char_p(21778372)
HFpUPS	4	NC	c_char_p(22387732)
aUueGT	1	NC	c_char_p(38295812)
HaxJNk	3	NC	c_char_p(21564516)
6MDKYT	1	NC	c_char_p(24555236)
u92XMk	1	NC	c_char_p(22114724)
I1drcQ	1	NC	c_char_p(21949892)
IYLQTB	6	NC	c_char_p(21847604)
I2iFB6	1	NC	c_char_p(61321860)
I8bwn3	1	NC	c_char_p(21887588)
GL1q4I	6	NC	c_char_p(21853844)
HSFU0C	16	NC	c_char_p(22078164)
aT0jpI	1	NC	c_char_p(82944996)
Jvw5Kx	1	NC	c_char_p(24022372)
JeEqjy	1	NC	c_char_p(30247588)
hHJOXn	3	NC	c_char_p(22245268)
JdDZ9e	2	NC	c_char_p(24491796)
csI8yJ	1	NC	c_char_p(21556196)
JjJYWq	1	NC	c_char_p(21774996)
