d7wl2N	1	NE	center tornado watch prediction storm 96 status report watch messages 96 information network service national warnings visit iwin weather interactive 40 mod 20 low 30 mod 30 mod low low high 70 f2f5 probability forecaster 70 60 table event increased category tornadoes probabilities issuing 5 low moderate events awareness listed
wxFhNY	1	NE	youth national calling blog preparedness council nominations fema comment accordance comments blog moderated policy femas links nongovernment social applications web fema provided reference media companies sites endorse msgdata washington street apply management prepare federal rates homeland department 4fema emergency dc 43362 20472202 sw agencyus security500 6462500text tty assistance step 46275853
yInBWz	1	NE	youth preparedness corps citizen communities uniting preparing nation locate login contact council moved page httpcitizencorpsgovgetstartedyouthyouthindexshtm andor links update questions bookmarks citizencorpsdhsgov email links plugin require plugins page view readygov corps notices disasterhelpgovcitizen plugins home fear register privacy federal faqs femagov citizen widgets act policy dhsgov data foia bulletins annual reports
GFh2dX	1	NE	ncbi microbiol metabolome appl environ transcriptome pubmed 2012 function web ncbi javascript site warning requires management citation external file generate software correspondence kistler address corby hckistumnedu mannosylerythritol involved adhesive decreased expressing antagonism biosynthetic transcriptome ultimately clustered unique secondary niches severely metabolite uncharacterized proteins loses accumulation biomass proportionally growth acid declined
dqT19W	1	NE	medical seizure medlineplus encyclopedia generalized tonicclonic epilepsy seizure convulsion seizures generalized grand body terms involving mal entire called tonicclonic information people epilepsy chronic seizures occur generalized repeated part condition episode age single tonicclonic taste seizure seizures generalized smell sensory hallucinations dizziness patients aura tonicclonic called vision contractions seizure involve violent
d0iKKk	5	NE	corps monthly themes preparedness citizen 2011 events communities uniting preparing nation locate login contact council moved page httpcitizencorpsgovnewseventsthemes2012themesshtm andor links update questions bookmarks citizencorpsdhsgov email readygov corps notices disasterhelpgovcitizen plugins home fear register privacy federal faqs femagov citizen widgets act policy dhsgov data foia bulletins annual reports servegov contact bannersaccessibility
zCaLwp	1	NE	apod scale march 12 universe interactive 2012 fascinating discover featured written image explanation day photograph astronomer cosmos universe professional 12 march flash player version recent adobe 2012 bring human galaxy flash proportion window spread discovering humanity descriptive familiar stop speckled possibly items smoothness vast bar sizes large small version ten
GF116S	1	NE	solstice fountains mission ice cassini images home image details acquired image viewing geometry plume tiny particles easy enceladus makes 154 image visible spacecraft cassini scale sunenceladusspacecraft approximately 18 jan 3 camera degrees 6 578000 kilometers phase angle 930000 narrowangle light pixel miles 2006 enceladus view distance operations directorate jpl developed
x0pOeE	1	NE	hormonedisrupting household medlineplus chemicals products found study pages related medlineplus household healthday linked asthma thursday research 8 200 tests hormone march disruption chemicals report news suggests products common found researchers household fresheners air soaps cream protectors cosmetics shaving curtains perfumes kitty detergents vinyl included wide tested sunscreens litter lotions shower
GJhryh	1	NE	apod march 23 messier 9 close 2012 fascinating discover featured written image explanation day photograph astronomer cosmos universe professional 23 march 2012 show astronomical charles colors renown distant galaxy 25 giant clusters famous closeup resolves cool deficient view heavy telescope 18th astronomer star bluer dense space sun nebula red 300000
vbBNj	3	NE	hsf realtime space human flight data control uptotheminute mission spacecraft path data make sky project applet reside significantly 336 download skywatch cache approximately access internet files 144 downloading 300 sufficient downloaded data 10 hard minutes clear required drive connection nasa time modem kbps updated official responsible amiko curator notices nasa
GCpNUM	1	NE	baseball park construction comiskey exterior sox white photographs chicago daily 19021933 news baseball park construction comiskey exterior sox white news photographer daily chicago 1910 createdpublished square skeleton armour community area street exterior sox portland avenue equipment chicago west illinois located white shields wentworth 324 grandstand park curved construction comiskey supplies
yyzL3Z	2	NE	march media social day awareness 2012 people bisexual streets homeless runaway victimization percent young heterosexual 334 transgender versus 587 gay lgbtq questioning report lesbian youth providers dealing wwwsamhsagovchildren children friends visit trauma resilient hope families heroes youth learn danger bisexual streets high homeless home streets1 victimization people young rates transgender
