AmnISr	4	NM	c_char_p(36628100)
yjxsMl	2	NM	c_char_p(37300276)
zb0i4q	1	NM	c_char_p(37130900)
GDd9Vw	1	NM	c_char_p(44096884)
yUzuQt	12	NM	c_char_p(36600948)
43f0cO	1	NM	c_char_p(37604916)
yat87u	19	NM	c_char_p(37073012)
wjMigm	1	NM	c_char_p(37004260)
yZ302b	1	NM	c_char_p(37229172)
wnQalX	4	NM	c_char_p(36700404)
amlPpM	2	NM	c_char_p(37402148)
AlG8fQ	1	NM	c_char_p(41807300)
yMsWAB	4	NM	c_char_p(36852916)
xl8O0c	1	NM	c_char_p(37136708)
zD8g2C	1	NM	c_char_p(38381428)
A113rm	1	NM	c_char_p(36640148)
xuDesQ	1	NM	c_char_p(37384340)
wL5Djv	1	NM	c_char_p(48302500)
zCaLwp	1	NM	c_char_p(36643572)
xuIjOO	1	NM	c_char_p(36970164)
wY8dEX	1	NM	c_char_p(37559828)
GBTkQq	1	NM	c_char_p(48718644)
b9oZn7	1	NM	c_char_p(54383636)
cPgC0u	2	NM	c_char_p(94886596)
