wQ8HW7	1	SC	c_char_p(47108772)
ypgLRL	1	SC	c_char_p(47134436)
xxDvSB	2	SC	c_char_p(47137860)
wAO5RR	1	SC	c_char_p(45443380)
p4acsW	1	SC	c_char_p(54166980)
zGevyz	1	SC	c_char_p(68513780)
yRQiwq	2	SC	c_char_p(45196196)
sgcY98	1	SC	c_char_p(63711700)
xtzWut	1	SC	c_char_p(57393012)
AAcZBD	1	SC	c_char_p(57172260)
mNYfwY	1	SC	c_char_p(45214948)
kBW8my	13	SC	c_char_p(65500116)
bujg3	1	SC	c_char_p(57366180)
22PtZn	1	SC	c_char_p(70265204)
w38yEm	6	SC	c_char_p(45143380)
cytVcm	1	SC	c_char_p(49550452)
wPiOtt	1	SC	c_char_p(43986292)
JJgjA	2	SC	c_char_p(45367428)
aGrvo1	1	SC	c_char_p(48818276)
yYZmSW	3	SC	c_char_p(45449508)
8ZTR7S	1	SC	c_char_p(86141796)
rgDdLT	1	SC	c_char_p(45442340)
xPMDaY	1	SC	c_char_p(45496404)
yeMZZu	1	SC	c_char_p(45012404)
yq1gmf	1	SC	c_char_p(66878436)
A1MDU3	1	SC	c_char_p(45230916)
AnkFiD	1	SC	c_char_p(45461796)
d0iKKk	1	SC	c_char_p(45388868)
xXJccI	1	SC	c_char_p(45348452)
17d7Xm	2	SC	c_char_p(45925604)
zGjYkl	1	SC	c_char_p(45214404)
jjHHaH	1	SC	c_char_p(45601748)
yowC5u	1	SC	c_char_p(61809524)
q8oag	1	SC	c_char_p(61836948)
zhMOL4	1	SC	c_char_p(61810212)
sp7tV	1	SC	c_char_p(60357092)
wf7w7R	1	SC	c_char_p(74391124)
vnrjr0	1	SC	c_char_p(61795188)
1IMsDV	1	SC	c_char_p(61819348)
zZ8xle	1	SC	c_char_p(47326852)
76re7C	1	SC	c_char_p(45552660)
zYSmt8	3	SC	c_char_p(68408468)
4dwBHm	1	SC	c_char_p(61814548)
A8GVs5	1	SC	c_char_p(45357524)
wICmQR	4	SC	c_char_p(45504596)
