mRyYNC	1	SC	c_char_p(76958612)
la6iqN	1	SC	c_char_p(28930292)
cmwWLl	1	SC	c_char_p(64620228)
i6rEz	1	SC	c_char_p(19273860)
xw0F5v	2	SC	c_char_p(18080356)
dMge7x	1	SC	c_char_p(36246724)
vG8lcT	1	SC	c_char_p(37576260)
xuDesQ	1	SC	c_char_p(19039268)
2pJmvF	2	SC	c_char_p(18638580)
bu90c0	1	SC	c_char_p(18645412)
d7wl2N	1	SC	c_char_p(18225316)
awFBvd	1	SC	c_char_p(18244948)
GNgAqy	2	SC	c_char_p(18502820)
bYbPhS	1	SC	c_char_p(24697572)
GD1Sbj	1	SC	c_char_p(19220036)
GQSSir	1	SC	c_char_p(27019764)
xl8O0c	1	SC	c_char_p(18064324)
GWDRZK	2	SC	c_char_p(18583700)
tcYhB	1	SC	c_char_p(19290948)
GQGv6h	3	SC	c_char_p(18091780)
coqf7D	2	SC	c_char_p(37571668)
k8eVQd	1	SC	c_char_p(35072036)
d0iKKk	1	SC	c_char_p(18531188)
zCaLwp	1	SC	c_char_p(18389956)
FRXJey	1	SC	c_char_p(19144388)
zGqov8	2	SC	c_char_p(19239732)
GQDTW7	1	SC	c_char_p(17002628)
c5Gh9r	1	SC	c_char_p(18190772)
yyzL3Z	2	SC	c_char_p(19199332)
peANoO	1	SC	c_char_p(19059076)
wAM1zS	1	SC	c_char_p(19201972)
vbBNj	6	SC	c_char_p(18646612)
