dUE1V6	0	SD	c_char_p(87192068)
AnkFiD	0	SD	c_char_p(45461796)
zPZpYl	0	SD	c_char_p(33285652)
A5CC1g	0	SD	c_char_p(23911220)
hcHgpI	0	SD	c_char_p(18672740)
yA8Y6z	0	SD	c_char_p(18864836)
MFsl	0	SD	c_char_p(86028340)
x3xKr9	0	SD	c_char_p(40690020)
R1iFO	0	SD	c_char_p(31564036)
b3NnsW	0	SD	c_char_p(43921572)
wsm7ex	0	SD	c_char_p(53505668)
9nByMb	0	SD	c_char_p(24127796)
xXJccI	0	SD	c_char_p(35500452)
b2UtUJ	0	SD	c_char_p(21395364)
HV43Hy	0	SD	c_char_p(41780836)
bp4ufL	0	SD	c_char_p(36722548)
c3kwtc	0	SD	c_char_p(41782180)
wnzq8f	0	SD	c_char_p(23087924)
HAjg0w	0	SD	c_char_p(44268724)
qcR6vD	0	SD	c_char_p(43435508)
zTtXbT	0	SD	c_char_p(42941972)
GRDKwh	0	SD	c_char_p(40799316)
I53NFs	0	SD	c_char_p(21674196)
vbBNj	0	SD	c_char_p(18646612)
csgKjw	0	SD	c_char_p(42937828)
db0qJY	0	SD	c_char_p(18709748)
g9ZQJ0	1	SD	c_char_p(20307924)
i8lAE	1	SD	c_char_p(20217764)
mYuqg	1	SD	c_char_p(22943540)
whcsLd	1	SD	c_char_p(20922260)
ruG5h8	1	SD	c_char_p(48439060)
xuYeIi	1	SD	c_char_p(13818996)
zOMvzF	1	SD	c_char_p(27804180)
y8RMFj	1	SD	c_char_p(88591284)
mNYfwY	1	SD	c_char_p(20766532)
xBhvtQ	1	SD	c_char_p(54571828)
eZbNWC	1	SD	c_char_p(23928356)
fd1bnN	1	SD	c_char_p(22855828)
JJgjA	2	SD	c_char_p(29442340)
UT2FE	2	SD	c_char_p(45158756)
yUzuQt	2	SD	c_char_p(36600948)
b2uIyI	2	SD	c_char_p(28412900)
w11sfQ	2	SD	c_char_p(44566660)
HFTEus	3	SD	c_char_p(59230292)
jSNUzQ	3	SD	c_char_p(27804004)
hIb05n	6	SD	c_char_p(84597716)
jjHHaH	7	SD	c_char_p(32100148)
xl8O0c	18	SD	c_char_p(28114644)
