150pf	1	TN	c_char_p(118731220)
yZ04yM	2	TN	c_char_p(20152020)
wGCYjT	1	TN	c_char_p(54310212)
cFz5sD	1	TN	c_char_p(20242756)
9FUemW	1	TN	c_char_p(49051172)
zL3Q4m	1	TN	c_char_p(20548004)
g9ZQJ0	8	TN	c_char_p(20307924)
pBZHvh	1	TN	c_char_p(20157844)
zfPyFs	1	TN	c_char_p(20400372)
zxVtap	1	TN	c_char_p(20152420)
mNYfwY	2	TN	c_char_p(20496628)
cGrDeG	1	TN	c_char_p(34577268)
z7Gm9C	3	TN	c_char_p(20009940)
kvcs	4	TN	c_char_p(30144836)
AAeJZw	3	TN	c_char_p(20136020)
9aUomO	1	TN	c_char_p(84120292)
wnqpWh	2	TN	c_char_p(20300244)
xtK54N	2	TN	c_char_p(20005060)
6OvCsb	2	TN	c_char_p(20529444)
wV8XYs	2	TN	c_char_p(20341220)
9s44e4	1	TN	c_char_p(86775300)
ohQJR0	1	TN	c_char_p(49054340)
yZTICL	2	TN	c_char_p(21623348)
n6WB3M	1	TN	c_char_p(20545828)
y2mB7J	7	TN	c_char_p(20212628)
ALAz	13	TN	c_char_p(20360964)
bgIQxG	1	TN	c_char_p(33648676)
wLrxuV	1	TN	c_char_p(20967540)
wlQXra	3	TN	c_char_p(20538836)
i8lAE	1	TN	c_char_p(20217764)
yKYQKd	1	TN	c_char_p(20306180)
aw3KZ1	1	TN	c_char_p(20134324)
wPXQIj	1	TN	c_char_p(21480020)
d3KIKm	1	TN	c_char_p(20465892)
azg6hf	1	TN	c_char_p(20038564)
qYsprX	1	TN	c_char_p(20165796)
xOPZAf	1	TN	c_char_p(20439028)
x6T6oi	1	TN	c_char_p(31498468)
cHVIja	1	TN	c_char_p(20533540)
zZ2Moo	6	TN	c_char_p(18943028)
6MDKYT	13	TN	c_char_p(20077828)
xBhvtQ	17	TN	c_char_p(19996036)
xh5Gr0	2	TN	c_char_p(20392900)
yqexjv	4	TN	c_char_p(20044068)
zQe3iy	1	TN	c_char_p(20403572)
xNxKyC	1	TN	c_char_p(20069508)
