A5rLxb	1	TX	c_char_p(42943924)
HDTp3l	4	TX	c_char_p(44943124)
HpS1l7	8	TX	c_char_p(53086436)
qvXnXj	1	TX	c_char_p(42267620)
IdrR0	1	TX	c_char_p(72214372)
ywClOS	1	TX	c_char_p(109425092)
FRke6w	2	TX	c_char_p(41721076)
r8k9E	6	TX	c_char_p(42169572)
IBzb97	1	TX	c_char_p(43338932)
HxvPXO	2	TX	c_char_p(41718388)
g9ZQJ0	1	TX	c_char_p(42862804)
m2bzz	4	TX	c_char_p(41710292)
XtdrY	3	TX	c_char_p(42205588)
HkukQ2	2	TX	c_char_p(66203444)
FQhE26	1	TX	c_char_p(73440356)
HotUYe	1	TX	c_char_p(42912500)
ySQVYW	1	TX	c_char_p(109430820)
HTJdoE	2	TX	c_char_p(51540372)
HWvUCE	3	TX	c_char_p(73389092)
17C6tz	2	TX	c_char_p(43358068)
HRoJg9	1	TX	c_char_p(83339508)
i88v3o	1	TX	c_char_p(42962404)
xl8O0c	2	TX	c_char_p(51693332)
HmPUC8	1	TX	c_char_p(42278548)
IALzd4	1	TX	c_char_p(41906868)
HpQWvX	2	TX	c_char_p(41895412)
eFC3xt	3	TX	c_char_p(41776836)
i8lAE	4	TX	c_char_p(42929396)
zZ1zsG	1	TX	c_char_p(83341780)
11IMWM	1	TX	c_char_p(83345844)
wJPcoM	1	TX	c_char_p(85689412)
5pRS5	2	TX	c_char_p(50880100)
cjYwfD	4	TX	c_char_p(43101492)
bCLt1i	4	TX	c_char_p(44940932)
yrfXg6	1	TX	c_char_p(66199412)
2PQUFP	10	TX	c_char_p(49428468)
Ho1gXy	2	TX	c_char_p(42310404)
HlLTMC	1	TX	c_char_p(205579492)
Hf4EzD	1	TX	c_char_p(52277460)
LR5gJ	1	TX	c_char_p(43096948)
IhbXWh	1	TX	c_char_p(49444484)
yGc0Ka	1	TX	c_char_p(41845076)
HZkuRd	1	TX	c_char_p(41959764)
I5Ba5u	2	TX	c_char_p(51809892)
HbABIR	3	TX	c_char_p(43811140)
IqWbrT	21	TX	c_char_p(43062404)
IjwAlB	1	TX	c_char_p(85617300)
wCIR3s	1	TX	c_char_p(74089780)
H1raiy	1	TX	c_char_p(66206500)
fU0iNs	28	TX	c_char_p(41851716)
HPyVWu	1	TX	c_char_p(50803348)
ce1e53	1	TX	c_char_p(53285012)
Hg4CdE	1	TX	c_char_p(43039572)
d6irAr	4	TX	c_char_p(42861828)
HF8L9Z	1	TX	c_char_p(55772772)
dtbcVO	1	TX	c_char_p(73369860)
HgfTMK	1	TX	c_char_p(51825620)
Hidnm2	1	TX	c_char_p(51678004)
HCj4HK	2	TX	c_char_p(42222212)
I1drcQ	4	TX	c_char_p(44026100)
vlbysc	9	TX	c_char_p(83620180)
mYuqg	6	TX	c_char_p(41797220)
3YWS2N	5	TX	c_char_p(41866516)
HZYyax	1	TX	c_char_p(73487124)
IaMe6j	1	TX	c_char_p(51846548)
AEBSjT	1	TX	c_char_p(47157364)
HFTEus	15	TX	c_char_p(43753572)
qSkIlE	16	TX	c_char_p(43090212)
xlT5P	1	TX	c_char_p(42285572)
H2JRRM	1	TX	c_char_p(83637204)
IjZNMu	56	TX	c_char_p(42301236)
HV43Hy	111	TX	c_char_p(41780836)
wzKdqg	1	TX	c_char_p(74075364)
HEw7sH	6	TX	c_char_p(42277604)
HpBiAJ	1	TX	c_char_p(73535044)
mm6RaH	3	TX	c_char_p(53297652)
HMOHkZ	1	TX	c_char_p(51668804)
I7N6n2	2	TX	c_char_p(51635892)
HBusrm	1	TX	c_char_p(95721332)
sZYM3s	1	TX	c_char_p(51746388)
HDmVop	1	TX	c_char_p(51865364)
HdwHml	1	TX	c_char_p(42585764)
tiToJc	1	TX	c_char_p(73477988)
HWN5aS	3	TX	c_char_p(42253764)
HtKSmt	1	TX	c_char_p(44031284)
zCaLwp	3	TX	c_char_p(53254420)
d7PFbS	1	TX	c_char_p(51879508)
HdmYux	1	TX	c_char_p(44987204)
