gGdeK0	1	TX	c_char_p(61582468)
yruU2y	1	TX	c_char_p(62001412)
ynIQBj	2	TX	c_char_p(21116372)
Mivrc	1	TX	c_char_p(21104628)
srHO6N	1	TX	c_char_p(96098804)
g9ZQJ0	4	TX	c_char_p(61975620)
AvJ0U2	1	TX	c_char_p(57327252)
fzIr3K	1	TX	c_char_p(20964676)
wtMW66	1	TX	c_char_p(38020724)
aBOmIu	1	TX	c_char_p(36999460)
bREk8i	3	TX	c_char_p(51461492)
zdLtBc	2	TX	c_char_p(50473044)
yyd7zC	1	TX	c_char_p(57323156)
c5ClCA	1	TX	c_char_p(20857476)
bi5a91	1	TX	c_char_p(63469220)
wGJkQa	1	TX	c_char_p(50377140)
AfHijG	3	TX	c_char_p(20607172)
2HT2Lu	1	TX	c_char_p(21036468)
8faZ4	2	TX	c_char_p(62006708)
w505C2	1	TX	c_char_p(20708452)
zF2RFb	1	TX	c_char_p(37006372)
ACNh3K	2	TX	c_char_p(37576372)
d4E8Dn	1	TX	c_char_p(21092452)
zmfRvQ	1	TX	c_char_p(63619012)
v7K1xl	1	TX	c_char_p(20644036)
nw2tmJ	1	TX	c_char_p(62027796)
cWZtYp	1	TX	c_char_p(63117396)
cjYwfD	1	TX	c_char_p(61979956)
2PQUFP	15	TX	c_char_p(61992516)
cPrAyR	1	TX	c_char_p(55175636)
wuRdKC	1	TX	c_char_p(61843380)
y6uLOv	2	TX	c_char_p(63641444)
fT2e7k	3	TX	c_char_p(20643284)
aUueGT	1	TX	c_char_p(36852164)
mUBG5M	2	TX	c_char_p(51022228)
sE9y6O	4	TX	c_char_p(20800692)
AkgPgi	2	TX	c_char_p(50929988)
zkwIwH	4	TX	c_char_p(61590020)
AjhC9p	3	TX	c_char_p(20707588)
tyZQ2w	2	TX	c_char_p(20896116)
qvep1K	1	TX	c_char_p(51433508)
4MOwnM	1	TX	c_char_p(21220740)
yZ04yM	5	TX	c_char_p(21298516)
qKFIiE	1	TX	c_char_p(45159988)
zBmAjO	1	TX	c_char_p(38118132)
zcSAbS	2	TX	c_char_p(51479524)
siHx2k	1	TX	c_char_p(56395748)
wiMsmU	1	TX	c_char_p(21259108)
x6zQ9v	1	TX	c_char_p(76954244)
zV0YYw	1	TX	c_char_p(83721668)
yaPxRz	1	TX	c_char_p(38054068)
xbtN23	1	TX	c_char_p(36836164)
9F7C9S	1	TX	c_char_p(49188132)
nIaAKp	1	TX	c_char_p(65522548)
wfyHp6	15	TX	c_char_p(61958116)
zFFKWP	1	TX	c_char_p(20728532)
oWeDBN	5	TX	c_char_p(61934564)
odQC1H	2	TX	c_char_p(96089876)
qfePq9	32	TX	c_char_p(57301748)
z8P52U	1	TX	c_char_p(61806964)
xsmPkp	1	TX	c_char_p(21123652)
SCigp	1	TX	c_char_p(51760292)
xGoWEh	1	TX	c_char_p(20720564)
uedfD2	2	TX	c_char_p(61987428)
hrv4I2	1	TX	c_char_p(20834340)
yXDTzh	1	TX	c_char_p(61988932)
wgFhAT	2	TX	c_char_p(61955892)
9wJl9W	1	TX	c_char_p(63646900)
yGWVZA	1	TX	c_char_p(61936420)
gV57Wx	1	TX	c_char_p(61925412)
xs3LFk	1	TX	c_char_p(57316692)
wIFlVx	2	TX	c_char_p(57249348)
AsY34k	1	TX	c_char_p(21223540)
w7AupK	1	TX	c_char_p(59014628)
xhlTAZ	1	TX	c_char_p(37006740)
ixdqG9	1	TX	c_char_p(16658788)
atFcj	1	TX	c_char_p(20912324)
d7PFbS	1	TX	c_char_p(37083396)
d00j8l	1	TX	c_char_p(20865252)
ifFWgp	1	TX	c_char_p(81772340)
jjHHaH	1	TX	c_char_p(38020228)
bntp4c	1	TX	c_char_p(37102852)
zmGNcx	1	TX	c_char_p(76955860)
hrhIWI	2	TX	c_char_p(38135364)
zbySJ3	1	TX	c_char_p(37578644)
rMl1as	1	TX	c_char_p(56193588)
bgzxS	1	TX	c_char_p(50385556)
wmjk7w	1	TX	c_char_p(76957028)
z4hl6v	2	TX	c_char_p(20925172)
wGldb6	286	TX	c_char_p(21126852)
oeQsUZ	2	TX	c_char_p(76950676)
wdFyf	1	TX	c_char_p(38053588)
yXUDgV	8	TX	c_char_p(20747732)
xswEFh	4	TX	c_char_p(37099300)
ydPdyL	3	TX	c_char_p(63979204)
xdxb9Z	1	TX	c_char_p(37593172)
AwSoxo	2	TX	c_char_p(37097828)
y3C1em	2	TX	c_char_p(68203972)
g8vC1p	3	TX	c_char_p(61920100)
b9Hypx	1	TX	c_char_p(50447444)
AFaAGi	1	TX	c_char_p(20851972)
aAU9fu	2	TX	c_char_p(76200500)
b2uIyI	9	TX	c_char_p(21220292)
br50aE	6	TX	c_char_p(51461924)
uXHIzB	5	TX	c_char_p(51165892)
wL5wNk	1	TX	c_char_p(61986276)
zMAxr8	1	TX	c_char_p(63150324)
yuNNDZ	1	TX	c_char_p(37895716)
aKKK3b	1	TX	c_char_p(21171892)
yU4oeJ	1	TX	c_char_p(50516116)
aJcyeK	1	TX	c_char_p(42686692)
2YZs1o	1	TX	c_char_p(21302052)
w7PGMB	2	TX	c_char_p(51452244)
x3VF1j	1	TX	c_char_p(37908068)
xqfQJh	1	TX	c_char_p(50383188)
