9VxcFB	1	UT	living eating healthfindergov healthy live learn quick guide connect website hyperlink nongovernmental direct application hhs consistent hyperlinks states services human subject information hyperlinked united application contained health endorsement department website intended provided visitors external constitute applications privacy appearance practices products policies purpose link redirected information usaccessibility privacy mapcontact act policyfreedom
yZ04yM	3	UT	february house photo white day 2012 state union video watch enhanced transparency commitment browse house white logs visitor wait executive actions president obama federal receipt tax federal dollars tax spent people petitions create sign house inside white tour interactive february house check offices photo 2012 picks white day president house
cuUgkW	1	UT	apollo1 apollo nasa mission edward flash mission module states 012 as204 performed astronaut preparing mercury 27 space extravehicular veteran 1967 lt program pad vehicle test virgil struck grissom apollosaturn roger flight activity accident fire occurred prepared white united astronauts apollo tragedy died piloted missions launch january chaffee gemini command tragic
yXUDgV	1	UT	load strength targeting ncbi res gluteal pubmed cond low exercises 2012 function web ncbi javascript site warning requires management citation external file generate software jcrowessendonfccomau school australia trobe university la melbourne physiotherapy protocol results limbs group 22 vibration smith platform detected production gmp warrant greater matches countermovement competing immediately condition
znkVJf	1	UT	utah history private held tribune scandal obligation story lake junior frustration born 1896a hater brown life good utah killed success shame arthur moral commented history downfall philandering lawyer sense politics intellect lothario utahs member state 53yearold congress knew found jealous mistress grudges tragedy convened keen place senator salt fact family
10GCdb	2	UT	story weather bou display chances winds cold needed precipitation moderately late plains moisture expected today mountains evening north unsettled activation possibly front diminish bit bringing high builds cooler wednesday temperatures activity showers overnight tonight warmer spotter provide snow sunday significance monday slight friday thunderstorm rain pressure chance strong dry region
qfePq9	4	UT	summer apod nights august dream 5 2011 fascinating discover featured written image explanation day photograph astronomer cosmos universe professional 5 2011 august summer results yellow planning earth concentric rotates find photographer fix late worth familiar michigan fairies fall awaken continued rosinski streaks traced night series scenes asleep images 4555 arcs
b2uIyI	1	UT	house white state union video watch enhanced transparency commitment browse house white logs visitor wait executive actions president obama federal receipt tax federal dollars tax spent people petitions create sign house inside white tour interactive event live facebook discussion participate click member facebook give click questions comments httpwwwwhitehousegovvideo ondemand library
wL5wNk	1	UT	full citizenship american quest african odyssey exhibit citizenship library held books including displaying librarys documents plays incomparable feature odyssey maps collections exhibition showcases films black buildings full congress government african recordings quest 240 scores manuscripts kind largest presentations american items musical history years participate existence contributions writers black presentation aspects
wmjk7w	1	UT	apod telescope january 31 nebula vista helix 2012 fascinating discover featured written image explanation day photograph astronomer cosmos universe professional january 31 2012 planetary bearer fluoresce infrared colors 25 outer ngc helix expelled sunlike observatorys gasses closeup day designation visible telescope 700 examples constellation space sun nebula shows core dwarf
